ID,Full taxonomic name,Common name,Cultivation group (Rotational information),Sunlight requirements,Temperature class,Nutrient requirements,Preferred pH,Nutritional information,Energy Value per 100g raw Kcal,General Description,Sensitivities,Water Requirements,Plant Requirements,Descriptive Growing Season,Pests and Pathogens,Disease Management,Soil,Optimum Germination Temerature,Days to germination at optimum temperature,Plant growing ideal temperature,Length of gorwing to harvest,Image_product,image_plant
1,"Pisum sativum","Pea","Legume","Full sun","Half hardy","Medium","6.0-7.5","A good source of vitamin K, manganese, and dietary fibre.",80,"The pea is the small spherical seed, or the seed-pod. Peas come in two varieties: shelling, and mangetout.","Drought intolerant","Very High","Require a sunny, nutrient-rich, moisture-retentive site.","Annual","Currently no data available.","Currently no data available.","Loamy","24","6","4-24","55-75","1_1.jpg","1_2.jpg"
2,"Phaseolus coccineus","Beans (Runner)","Legume","Full sun","Tender","Medium","6.0-6.8","A good source of protein, thiamine, and riboflavin.",27,"Runner bean plants are more productive than green bean plants. The rough, flat, green pods need to be destrung and cut into smaller pieces before cooking.","Drought intolerant","Medium","Beans are a tender, warm-weather crop. They are perfectly suited to a sunny, and well-drained spot away from strong winds. They enjoy moist, and fertile soil.","Annual","Currently no data available.","Currently no data available.","Loamy and clay","26","7","16-30","65-85","2_1.jpg","2_2.jpg"
3,"Phaseolus vulgari","Beans (French)","Legume","Full sun","Tender","Medium","6.0-7.5","A good source of protein, thiamine, and riboflavin.",27,"French beans are the unripe fruit, and protective pods of various cultivars of the common bean.","Drought intolerant","Medium","Beans are a tender, warm-weather crop. They are perfectly suited to a sunny, and well-drained spot away from strong winds. They enjoy moist, and fertile soil.","Annual","Currently no data available.","Currently no data available.","Any well-drained and fertile","26","7","16-30","40-55","3_1.jpg","3_2.jpg"
4,"Vicia faba","Beans (Broad)","Legume","Full sun/partial shade/full shade","Hardy","Medium","6.0-7.0","A good source of vitamin-B6 (pyridoxine), thiamine (vitamin B-1), and riboflavin.",88,"Broad beans - also known as the fava bean - are large, broad pods with flat, edible seeds. The shells are not eaten.","Drought intolerant","Very Low","Broad beans are a cool weather crop. They grow best in a sunny, and well drained spot away from strong winds. They enjoy moist, and fertile soil.","Annual","Currently no data available.","Currently no data available.","Any well-drained and fertile","10","7","8-15","85-115","4_1.jpg","4_2.jpg"
5,"Brassica oleracea","Cabbage (Spring)","Legume","Full sun","Hardy","High","6.0-7.5","A very good source of manganese, dietary fibre, potassium, vitamin B1, folate and copper.",25,"Cabbages are a leafy green or purple biennial plant. They are grown as an annual vegetable crop for their dense-leaved heads. These can be eaten raw in salads, or cooked.","Particularly vulnerable to pests. Do not grow if soil is too acidic.","High","Cabbage is a cool-season crop best planted in early spring or mid to late summer. They grow best in partial-shade, in firm, fertile, and free-draining soil.","biennial","Currently no data available.","Currently no data available.","Sand/loam/clay","26","4","7-30","55-85","5_1.jpg","5_2.jpg"
8,"Brassica oleracea (Gemmifera group)","Brussels Sprouts","Brassica","Full sun","Hardy","High","6.0-7.5","A good source of dietary fibre, vitamin c, and folate.",35,"Brussels sprouts are a member of the cabbage family. They are grown for their edible buds. The leafy green vegetables look like miniature cabbages.","Affected by a wide range of pests and diseases. Drought intolerant.","Medium","Brussels sprouts are a cool-season crop. They grow best in partial-shade, in firm, fertile, and free-draining soil. Avoid shallow, sandy soils, and exposed sites.","biennial","Currently no data available.","Currently no data available.","Loamy","26","4","7-30","180-","8_1.jpg","8_2.jpg"
10,"Brassica oleracea (Acephala group)","Kale","Brassica","Full sun","Very hardy","High","6.0-7.5","A good source of vitamin A, vitamin C, calcium, and potassium.",50,"Kale is a variety of the common cabbage, however it is considered closer to the wild cabbage. Kale is one of the strongest and most disease resistant vegetables. It can have green or purple leaves.","Heat intolerant","Low","Kale tolerates cold weather better than most other brassicas and is relatively free of pests and diseases.  It can be treated as a cut-and-come-again crop.","biennial, grown as annual","Currently no data available.","Currently no data available."," Loamy","26","4","15-20","65-75","10_1.jpg","10_2.jpg"
11,"Brassica rapa (Rapa group)","Turnip","Brassica","Full sun/partial shade","Very hardy","Medium","5.5-7.5","Currently no data available.",0,"Turnip is a root vegetable with white flesh.  That can be eaten cooked or raw.","A cool weather crop best not grown over hot summer months.","Medium","Turnips grow best in cool, moisture retentive soils and should be kept well watered or the roots will be small and woody.   They are biennials usually grown as annuals.","biennial, grown as annual","Currently no data available.","Currently no data available.","Loamy","30","3","5-24","45-70","11_1.jpg","11_2.jpg"
23,"Cynara cardunculus","Artichoke (Globe)","Brassica","Full sun/partial shade","Tender","High potassium fertiliser every 2 weeks.","6.0-7.0","Currently no data available.",0,"The inner heart of the flower buds from this perennial are eaten raw or cooked.","Currently no data available.","Medium","Globe artichokes are large, architectural perennial plants, that are ornamental enough for the flower garden.  They grow well in reasonably fertile, well drained soils.","perennial","Currently no data available.","Currently no data available.","Loamy","Currently no data available.","10-21","10-24","100-150","23_1.jpg","23_2.jpg"
30,"Brassica oleracea","Cabbage (Autumn red)","Brassica","Full sun","Hardy","High","6.0-7.5","Currently no data available.",0,"Also known as headed cabbage, grown for it's tightly packed leaves.  There are many difference varieties that also vary in flavour.  Can be eaten raw or cooked.","Currently no data available.","High","Cabbage is a cool-season crop best planted in early spring or mid to late summer.  They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.","biennial","Currently no data available.","Currently no data available.","Sand/loam/clay","26","4","7-30","60-110","30_1.jpg","30_2.jpg"
31,"Brassica oleracea","Cabbage (Autumn)","Brassica","Full sun","Hardy","High","6.0-7.5","Currently no data available.",0,"Also known as headed cabbage, grown for it's tightly packed leaves.  There are many difference varieties that also vary in flavour.  Can be eaten raw or cooked.","Currently no data available.","High","Cabbage is a cool-season crop best planted in early spring or mid to late summer.  They need a sunny site and firm soil. With a little planning it is possible to pick them fresh nearly every day of the year.","biennial","Currently no data available.","Currently no data available.","Sand/loam/clay","26","4","7-30","60-110","31_1.jpg","31_2.jpg"
99,"Valeriana officinalis","Valerian","Miscellaneous","Full sun","Hardy","Low","5.5-7.0","Currently no data available.",0,"The root of this plant is used after drying and making into powder.  It is claimed that it helps with sleep disorders and depression.  The leaves can be used to make tea.","Currently no data available.","Medium","Will grow in a wide variety of conditions, but prefers to be kept moist in well drained soil.  It grows to about 1m-1.5m high, and 0.5m wide.","Perennial","Currently no data available.","Currently no data available.","Sand, Clay, Chalk, Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","99_1.jpg","99_2.jpg"
100,"Symphytum officinale","Comfrey","Miscellaneous","Partial shade","Hardy","Low","6.0-7.0","Currently no data available.",0,"There are many uses of comfrey. It has reported healing properties when used as an external dressing, or consumed as a tea. The nutrient rich leaves can be used as a fertiliser.","Currently no data available.","Medium","Comfrey can live for over 20 years, and will thrive in good soil and full sun.  Once established, it requires little maintenance, however, mulching with grass cuttings will help to produce more leaves.","Perrenial","Currently no data available.","Currently no data available.","Chalk, Clay, Sand, Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","100_1.jpg","100_2.jpg"
101,"Coriandrum sativum","Coriander","Umbelliferae","Full sun","Hardy","Low","6.0-7.0","Currently no data available.",0,"This aromatic herb is used in cooking.  The whole plant can be eaten, although the leaves and seeds are most often used; the leaves as a herb, and the seeds as a spice.","Currently no data available.","Medium","Keep the soil damp, but not over watered. Dry soil will cause the plants to flower prematurely, or bolt.","Annual","Currently no data available.","Currently no data available.","Loam, Chalk, Sand","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","101_1.jpg","101_2.jpg"
102,"Anethum graveolens","Dill","Umbelliferae","Full sun","Hardy","Medium","5.5-7.0","Currently no data available.",0,"A member of the parsley family.  This aromatic herb has feathery green leaves which are best used fresh. The seeds are also used as a spice.","Currently no data available.","Medium","Dill does not like to be transplanted. It may require staking to prevent it falling over.","Annual","Currently no data available.","Currently no data available.","Loam, Chalk, Sand","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","102_1.jpg","102_2.jpg"
103,"Thymus vulgaris","Thyme","Miscellaneous","Full sun","Hardy","Low","5.5-7.0","Currently no data available.",0,"This is a woody stemmed plant with an abundance of small leaves which are used to flavour dishes.","Currently no data available.","Low","Easy to grow, and suitable for rock gardens.  After flowering cut back to retain compactness.","Perennial","Currently no data available.","Currently no data available.","Loam, Chalk, Sand","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","103_1.jpg","103_2.jpg"
104,"Tanacetum parthenium","Feverfew","Miscellaneous","Full sun","Hardy","Low","6.0-8.0","Currently no data available.",0,"A flowering plant in the daisy family. It is used for its reported medicinal properties - for the treatment of migraines and other ailments.","Currently no data available.","Low","Will grow well in most soils, but not in heavy wet soils.  Self seeds, remove dead flowers to prevent this.","Annual/perannial","Currently no data available.","Currently no data available.","Most soils","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","104_1.jpg","104_2.jpg"
105,"Armoracia rusticana","Horseradish","Brassicas","Full sun","Very hardy","Medium","5.0-7.5","Currently no data available.",0,"A root vegetable and a member of the mustard family.  The green leaves can be eaten, but it is mainly grown for its root, which is used for is pungent flavour, especially in stews.","Currently no data available.","Medium","An easy to look after herb that prefers light, fertile and deep soil.  Can be invasive, so is regularly grown in raised beds.","Perennial","Currently no data available.","Currently no data available.","Loam, Chalk, Sand, Clay","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","105_1.jpg","105_2.jpg"
111,"Rosmarinus officinalis","Rosemary","Miscellaneous","Full sun","Hardy","Low","5.0-6.0","Currently no data available.",0,"An evergreen shrub, with fragrant needle shaped leaves used to flavour dishes.","Currently no data available.","Low","An easy to grow shrub that prefers poor, well drained soil.  Is best cultivated from semi-hard wood cuttings.","Shrub","Currently no data available.","Currently no data available.","Sand, Clay, Chalk, Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","111_1.jpg","111_2.jpg"
110,"Petroselinum crispum","Parsley","Umbelliferae","Full sun/partial shade","Hardy","Medium","5.0-7.0","Currently no data available.",0,"Extensivly used in cooking, from a garnish to an essential ingredient in some dishes, such as salsa verde.","Currently no data available.","Medium","The seed needs to be soaked in warm water overnight before planting, and can take several weeks to germinate.  It can survive cold winters if mulched.","Biennial, grown as an annual","Currently no data available.","Currently no data available.","Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","110_1.jpg","110_2.jpg"
108,"Mentha spicata","Mint","Lamiaceae","Full sun","Very hardy","Low","7.0-8.0","Currently no data available.",0,"A versatile herb which can be used in hot drinks, in salads, and as a mint sauce (traditionally served with roast lamb).  Is also an essential ingredient in the mojito cocktail.","Currently no data available.","Low","An easy to grow herb that will thrive in rich, moisture retentive, deep soil.  Mint will spread if not kept in check.","Perennial","Currently no data available.","Currently no data available.","Chalk, Clay, Sand, Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","108_1.jpg","108_2.jpg"
107,"Origanum majorana","Marjoram","Lamiaceae","Full sun","Hardy","Low","6.0-8.0","Currently no data available.",0,"A perennial herb grown for it's aromatic flavours of sweet pine and citrus.","Currently no data available.","Low","Requires regular watering, however, be careful of overwatering as the roots can easily rot.","Perennial","Currently no data available.","Currently no data available.","Loam, Chalk, Sand","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","107_1.jpg","107_2.jpg"
115,"Melissa officinalis","Lemon balm","Miscellaneous","Full sun","Very hardy","low","6.0-7.5","Currently no data available.",0,"A member of the mint family, the leaves have a mild lemon sent.  It is used to add flavour, or as an infusion in a hot drink.","Currently no data available.","Medium","Will grow in any moisture retentive soil, but will need protected from excessive moisture over the winter.","Perennial","Currently no data available.","Currently no data available.","Chalk, Clay, Sand, Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","115_1.jpg","115_2.jpg"
